WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 259-505-676
127.0.0.1 - - [13/Jun/2026 20:17:47] "GET /api/cells HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:48] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:55] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:55] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:56] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:56] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:56] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:57] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:57] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:57] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:57] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:57] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:57] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:58] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:21:58] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:00] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:00] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:01] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:01] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:01] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:01] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:02] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:02] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:02] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:05] "POST /api/sweep HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 22:22:05] "POST /api/sweep HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 23:11:11] "GET /api/status HTTP/1.1" 404 -
127.0.0.1 - - [13/Jun/2026 23:11:23] "GET / HTTP/1.1" 200 -
